date,day,stage,GDD,daily_GDD,LAI,dry_matter_total,dry_matter_leaf,dry_matter_stem,dry_matter_fruit,dry_matter_root,fruit_set_rate,soil_EC,soil_water_content,water_uptake,daily_K_uptake,accumulated_K,gray_mold_risk,whitefly_population,alerts
2025-10-22,52,flowering,425.4343188443247,5.002847509201901,1.7746112829417768,30.818646535261355,11.443042578047164,8.36117792452103,3.537664144229514,7.47676188846365,0.5,3.5,1.0,0.49661641925596806,0.16363636363636364,6.937168824984226,12.221594228978645,4.958315492043999e-18,[]
2025-10-23,53,flowering,430.4656354825014,5.031316638176668,1.7860788272269503,30.818646535261355,11.443042578047164,8.36117792452103,3.537664144229514,7.47676188846365,0.5,3.5,1.0,0.450946694069754,0.16363636363636364,7.10080518862059,9.372090369281045,1.4199383964460228e-18,[]
2025-10-24,54,flowering,436.57848163493554,6.112846152434122,1.8004993138613814,31.06584318776331,11.529561406422847,8.422977087646519,3.5871034747299047,7.52620121896404,0.5,3.5,1.0,0.7149321136332794,0.16363636363636364,7.264441552256954,8.91555796826696,4.066350866411974e-19,[]
2025-10-25,55,flowering,443.06097608692284,6.482494451987277,1.816379639527434,32.47562733296999,12.022985857245187,8.77542312394819,3.8690603037712425,7.808158048005378,0.5,3.5,1.0,0.677890954525852,0.16363636363636364,7.428077915893318,7.762309815944056,1.1645018833320898e-19,[]
2025-10-26,56,flowering,449.943019392095,6.882043305172119,1.8339022773761875,32.47562733296999,12.022985857245187,8.77542312394819,3.8690603037712425,7.808158048005378,0.5350433169905846,3.5,1.0,0.6144675832635073,0.16363636363636364,7.591714279529682,7.407819811605792,3.3348441411808976e-20,[]
2025-10-27,57,flowering,455.5397837628774,5.596764370782411,1.8486552799789426,35.10383726942978,12.94285933500611,9.432475608063136,4.394702291063199,8.333800035297335,0.5,3.5,1.0,0.748386530761743,0.16363636363636364,7.755350643166046,9.624749922145778,9.550165272508235e-21,[]
2025-10-28,58,flowering,462.55795621073247,7.018172447855068,1.8677883878973414,37.06591526165194,13.629586632283864,9.922995106118675,4.78711788950763,8.726215633741766,0.6218637018737978,3.5,1.0,0.7151972563545953,0.16363636363636364,7.91898700680241,13.809391135233398,2.73493011580222e-21,[]
2025-10-29,59,flowering,469.6857421281297,7.127785917397226,1.887933144313126,40.481343365010325,14.8249864684593,10.776852131958274,5.470203510179308,9.409301254413444,0.5352504604176405,3.5,1.0,0.8990008805814834,0.16363636363636364,8.082623370438773,18.750909496467614,7.8321605175294065e-22,[]
2025-10-30,60,flowering,479.1341295047064,9.448387376576724,1.9157202372649689,41.0458304760181,15.022556957312021,10.917973909710216,5.583100932380862,9.522198676614998,0.6912423867324721,3.5,1.0,0.9092823517640665,0.16363636363636364,8.246259734075137,8.558432294849633,7.4764540926674e-22,[]
2025-10-31,61,flowering,487.14130626056505,8.007176755858648,1.9402060286246314,43.625479802037546,15.92543422141883,11.562886241215079,6.099030797584752,10.038128541818889,0.7099298839477931,3.5,1.0,1.0789779065740774,0.16363636363636364,8.409896097711501,7.313068065109323,2.1410707431745345e-22,[]
